name,environmental,social,governance,composite
Monastery of the Martyrs of Akhmim,91.5,45,74.0,70.0
White Monastery,23.3,75,26.3,42.3
St. Pishay Coptic Orthodox Monastery,94.4,45,76.1,71.6
Red Monastery,94.4,45,76.1,71.6
Atripe,91.5,65,74.0,77.0
St. Michael Coptic Orthodox Monastery,88.7,45,72.1,68.4
Dragalevtsi Monastery,38.3,55,36.8,43.7
Razboishte Monastery,56.3,65,49.4,57.3
Lopushna Monastery,46.4,45,42.5,44.7
S. Maria de Vallverd,17.0,65,21.9,35.3
S. MarÃ­a de Piasca,7.5,75,15.2,33.4
S. Pere de Burgal,6.5,65,14.5,29.4
Conception Convent,31.9,65,32.3,43.6
Nikolo-Perervinsky Monastery,17.1,45,22.0,28.3
Novodevichy Convent (Moscow),28.2,65,29.7,41.5
St. Anthony,94.0,45,75.8,71.4
Ennaton Coptic Orthodox Monastery,28.1,45,29.7,34.5
St. Menas Coptic Orthodox Monastery (Egypt),83.1,45,68.2,65.3
St. Macarius of Alexandria Coptic Orthodox Monastery,93.8,45,75.6,71.3
El Amir Tadros El Meshreky Monastery,91.5,45,74.0,70.0
St. Samaan the Tanner Coptic Orthodox Monastery,75.2,45,62.6,60.8
St. Theodore the Oriental Coptic Orthodox Monastery,88.7,45,72.1,68.4
The Hanging Coptic Orthodox Monastery,91.5,45,74.0,70.0
St. Paul the Anchorite Coptic Orthodox Monastery,94.4,45,76.1,71.6
St. Paul the Theban Coptic Orthodox Monastery,94.9,45,76.4,71.9
St. George Coptic Orthodox Convent,63.4,65,54.4,61.3
St. George Coptic Orthodox Nunnery,81.4,65,67.0,71.3
St. Mary Coptic Orthodox Convent,66.2,65,56.3,62.8
St. Mercurius (Abu-Sefein) Coptic Orthodox Convent,74.6,65,62.2,67.5
Virgin Mary Coptic Orthodox Convent,60.5,65,52.3,59.6
St. Apollo at Bawit Coptic Orthodox Monastery,96.1,45,77.3,72.6
St. Mina Coptic Orthodox Monastery,88.7,65,72.1,75.4
"St. Pishoy, Deir El Bersha",94.0,45,75.8,71.4
St. John ( Deir Abu Hinnis ) Coptic Orthodox Monastery,91.5,45,74.0,70.0
Monastery of the Archangel Gabriel at Naqlun,88.7,45,72.1,68.4
Holy Virgin Mary (Deir al-Hammam) Coptic Orthodox Monastery,91.5,45,74.0,70.0
Holy Virgin Mary Coptic Orthodox Monastery (El-Quseyya),94.4,45,76.1,71.6
Deir el-Muharraq,83.1,45,68.2,65.3
St. Thomas Coptic Orthodox Monastery,74.6,45,62.2,60.5
St. Fana Coptic Orthodox Monastery,49.3,45,44.5,46.4
Monastery of Saint Samuel the Confessor,88.7,45,72.1,68.4
Holy Virgin Mary Coptic Orthodox Monastery (Minya),91.5,65,74.0,77.0
Al-Sanquriya,28.1,45,29.7,34.5
"St. Pishoy, Wadi El Natrun",92.1,45,74.5,70.3
St. Macarius Coptic Orthodox Monastery,93.8,45,75.6,71.3
St. John the Dwarf Coptic Orthodox Monastery,91.5,45,74.0,70.0
Paromeos Coptic Orthodox Monastery,95.2,45,76.6,72.0
Virgin Mary (El-Sourian) Coptic Orthodox Monastery,83.1,45,68.2,65.3
St. Michael's Golden-Domed Monastery,51.6,45,46.1,47.6
Pempton Coptic Orthodox Monastery,16.9,45,21.8,28.2
St. Menas Coptic Orthodox Monastery,90.4,45,73.3,69.4
St. Cyprius (Dair Qabriyus) Coptic Orthodox Monastery,83.1,45,68.2,65.3
St. Mercurius Coptic Orthodox Nunnery,54.9,65,48.4,56.5
Deir Abu Metta and Kellis,30.9,45,31.6,36.0
Kecharitomene,6.1,75,14.3,32.7
Convent of Lips,22.2,65,25.5,38.2
Philanthropos,4.1,65,12.9,28.1
Bebaia Elpis,6.9,75,14.8,33.1
