name,environmental,social,governance,composite
San Girolamo in Campansi,17.3,65,22.1,35.4
S. Elisabetta,1.5,45,11.0,19.6
S. Romolo e S. Bartolomeo,0.1,45,10.1,18.8
S. Ilario in Alfiano,16.7,75,21.7,38.6
S. Maria di Rosano,39.0,75,37.3,51.1
S. Giovanni Evangelisto a Pratovecchio,42.2,45,39.5,42.4
S. Bartolomeo alla Lastra,5.6,45,13.9,21.9
S. Caterina a Figline (Fiesole),36.1,65,35.3,46.0
S. Annunziata,0.7,65,10.5,26.1
S. Caterina di Cento,15.8,65,21.0,34.6
S. Donato a Torri in Polverosa,31.4,45,32.0,36.3
Santissima Annunziata di Firenze,0.0,65,10.0,25.8
S Silvestro,7.5,45,15.2,22.9
Le Murate,23.5,65,26.4,38.9
S. Michele delle Campora (Benedictine),20.3,45,24.2,30.1
S Michaelis de Monte Tribaldi (Florence),34.3,45,34.0,38.0
S. Verdiana,2.0,45,11.4,19.9
Santa Maria degli Angeli,28.9,45,30.2,34.9
Certosa di Firenze,32.6,45,32.8,37.0
S Maria Maddalena de’ Calsati (Florence),23.2,65,26.2,38.7
S. Maria Maddelena delle Convertite,6.8,65,14.7,29.5
San Domenico di Cafaggio,29.0,65,30.3,42.0
S Francesco a Guadato (Florence),44.8,45,41.3,43.8
S. Girolamo delle Poverine Ingesuate,27.4,65,29.2,41.1
Utstein Abbey,15.4,55,20.8,30.9
Værne Kloster,20.1,55,24.1,33.5
Marienstein,19.3,65,23.5,36.6
Heidenheim,44.3,65,41.0,50.6
S. Walburg,43.2,65,40.2,49.9
NiederschÃ¶nenfeld,33.8,75,33.6,48.2
Quedlinburg Abbey,56.5,75,49.5,60.9
Abbazia di San Salvatore,42.8,45,39.9,42.7
Sonnefeld,14.8,75,20.3,37.5
S. Niccolo di Prato,40.8,45,38.6,41.6
Engelthal,18.3,75,27.5,40.9
Pillenreuth,28.5,65,29.9,41.7
Himmelthron,10.2,65,17.1,31.4
S. Katharinenkloster,12.9,75,19.0,36.5
S. Caterina delle Ruote,26.4,65,28.5,40.5
Drübeck Abbey,38.0,65,36.6,47.0
Gerbstedt,34.0,75,33.8,48.3
Aschersleben,14.5,65,20.1,33.9
St. Marienberg,19.6,65,23.7,36.7
Frauenaurach,15.7,65,21.0,34.5
OberschÃ¶nenfeld,33.9,75,33.7,48.2
S. Katharina (S. Katharine),32.2,75,32.5,47.3
S. Ursula,26.3,65,28.4,40.5
S. Martin,15.2,65,20.6,34.2
S. Maria and S. Theodor,22.3,65,25.6,38.2
Heilig Grab,24.6,45,27.2,32.5
Dietenborn,1.6,65,11.1,26.6
SchlÃ¼sselau,15.4,75,20.8,37.9
Abbenrode,17.0,65,21.9,35.3
Kaufbeuren,30.5,65,31.3,42.8
Birkenfeld,15.1,75,20.6,37.7
Isenhagen,31.9,75,32.3,47.1
Medingen,44.7,75,41.3,54.3
Heiligen Kreuz,17.7,75,22.4,39.2
Kitzingen,45.6,65,41.9,51.3
S. Maria al Corso,8.1,65,15.7,30.3
S. Dalmazio,28.1,65,29.7,41.5
S. Cerbone,16.5,65,21.5,35.0
Dominae de Campo S. Petro,27.2,65,29.0,41.0
S. Anna (Lucca),61.2,65,52.8,60.0
S. Benedetto e S. Scolastica (Lucca),55.5,65,48.8,56.8
S. Maria dei Colli,69.6,65,58.7,64.7
S. Pantaleone (Cistercian),32.4,65,32.7,43.9
S. Micheletto (Clares),33.2,65,33.2,44.3
Marburghausen,19.3,65,23.5,36.6
Zimmern,15.7,75,21.0,38.0
Name unknown (Franciscan Tertiaries),16.5,65,21.5,35.0
Maihingen,18.5,65,21.0,35.5
Name unknown (Franciscans/Clares),31.7,65,32.2,43.5
S. Johanniszelle unter Wildberg,23.9,75,26.7,42.6
Dominikanerinnenkloster St. Agnes,15.3,65,20.7,34.3
Kreuztal,19.4,65,23.6,36.6
Heiningen,46.0,75,42.2,55.0
Neuwerk,21.6,75,25.1,41.3
WÃ¶ltingerode,34.8,65,34.3,45.2
Ebstorf Abbey,20.7,75,31.2,42.9
Lüneburg (St Bartholomä),20.1,75,24.1,40.5
Gernrode,36.6,75,35.6,49.7
S. Agostino in via Romea,3.9,45,26.1,24.9
S. Damiano (Pisa),26.2,65,28.3,40.4
S. Domenico,22.7,65,25.9,38.5
S. Silvestro,26.1,65,28.3,40.4
S. Paolo all’Orto (Dominican),31.0,45,31.7,36.1
S. Bartolomeo,19.8,65,23.8,36.8
S. Martiniano,39.2,65,37.4,47.7
Certosa di Parma,29.5,45,30.6,35.3
Ognissanti,18.0,45,22.6,28.8
Frauensee,19.0,65,23.3,36.4
San Salvatore and Giulia,59.2,65,51.4,58.9
Wechterswinkel,25.3,75,27.7,43.4
Wienhausen,45.2,75,35.0,52.6
Heiligenthal,19.3,65,23.5,36.6
"Pieve di San Pietro (Talignano, Collecchio, PR)",49.8,45,44.8,46.6
Hausen,22.7,65,25.9,38.5
S. Marien (S. Mary's),33.6,75,33.5,48.1
Gandersheim Abbey,53.9,75,47.7,59.4
Lammspringe,40.7,75,38.5,52.0
"Pieve di San Moderanno (Berceto, PR)",41.1,45,38.8,41.8
"Pieve di Sant’Apollinare (Coiano, Castelfiorentino, FI)",58.3,45,50.8,51.4
Frauenroth,17.2,65,22.0,35.4
"Abbazia di San Caprasio (Aulla, MS)",50.7,45,45.5,47.1
"Monastero di San Giovanni Evangelista (Pontremoli, MS)",34.9,65,34.4,45.3
Maidbronn,9.9,65,16.9,31.3
Derneburg,28.6,65,30.0,41.8
Braunschweig,17.5,65,22.2,35.5
Marienrode,38.3,65,36.8,47.2
Mariengarten,16.7,65,21.7,35.1
"Würzburg, Augustinian Canonesses",6.3,65,14.4,29.3
Aglaien-sisterhood (Beguine),10.6,75,17.4,35.2
Schwarzach,6.0,75,14.2,32.6
Charoltesbach,5.6,65,13.9,28.9
Thulba,22.4,65,25.7,38.3
S. Ulrich,13.1,65,19.2,33.1
S. Afra,36.9,75,35.8,49.9
Kärnach,0.7,75,10.5,29.6
Himmelspforten,32.2,75,32.5,47.3
Kaltenthal (Clares),15.7,75,21.0,38.0
S. Agnes,17.4,65,22.2,35.5
Wilberghaus,7.8,65,15.4,30.1
"Tänikon (Premonstratensian, Würzburg)",12.5,65,18.7,32.7
Heilig Kreuz (Augustinian),3.6,65,12.5,27.8
Convent of Mary Magdalene,12.9,65,19.0,33.0
S. Angelo in Cryptis Asculanis,37.1,65,36.0,46.5
Kloster Blaubeuren,20.3,65,24.2,37.1
Karlsburg,34.3,75,34.0,48.5
"Pieve di San Lorenzo (Filattiera, MS)",55.9,45,49.1,50.0
Frauenthal,45.8,65,42.0,51.4
Escherde,23.7,75,26.6,42.5
"Pieve di Santa Maria Assunta (Chianni, Gambassi Terme, FI)",58.4,45,50.9,51.5
SchÃ¶nau,21.1,75,24.8,41.1
S Eufemia (Albaretto),38.3,65,36.8,47.2
"Pieve di San Genesio (Isola, San Miniato, PI)",58.8,45,51.1,51.7
"Buxtehude, Altkloster",25.5,75,27.8,43.5
"Buxtehude, Neukloster",24.5,75,33.6,44.9
Lindau (Tertiaries),16.3,65,21.4,34.9
"Pieve di San Cristoforo (Galleno, Castelfranco di Sotto, PI)",58.9,45,51.2,51.7
Gimsøy Abbey,21.9,65,25.3,38.0
Eppenberg,11.6,65,18.1,32.2
Eldagsen,7.8,65,15.4,30.1
Kemnade,34.9,75,34.4,48.8
Wunstorf,37.0,45,35.9,39.5
S. Pietro a Silva Regia,0.7,45,10.5,19.1
"Abbazia di San Colombano (Bobbio, PC)",67.0,45,56.9,56.3
S. Magno ( Alà dei Sardi),40.0,65,38.0,48.2
Himmelpforten,31.4,65,32.0,43.3
Abbazia di Viboldone,22.2,45,25.5,31.2
Amorbach,40.4,75,38.3,51.9
Inzigkoven,25.2,75,27.6,43.4
Schmerlenbach,32.9,75,33.0,47.7
Santa Maria di Brera,22.1,45,25.5,31.1
"Beguine community, Hamburg",17.9,65,22.5,35.8
Biburg,8.6,65,16.0,30.6
FrauenwÃ¶rth,58.2,65,50.7,58.3
Falkenhagen,0.9,65,10.6,26.2
Herwardeshausen,16.0,65,21.2,34.7
Heggbach,32.2,65,32.5,43.8
Pielenhofen,31.8,75,32.2,47.0
Maria Medingen,16.6,65,21.6,35.0
Heiligen Kreuz (Dominican),32.1,65,32.5,43.7
Friedenweiler,24.2,65,26.9,39.3
Himmelthal,18.9,75,23.2,39.8
S. Maria Vecchia,40.1,65,38.1,48.2
Agata in Monte,62.5,65,53.7,60.7
S. Maria del Senatore,61.0,65,52.7,59.9
S. Marino e S. Leo (Benedictine),57.9,65,50.5,58.2
S. Dalmazzo (Pavia),18.4,45,22.9,29.1
Aschaffenburg (Beguines),29.1,65,30.4,42.1
"Klosterle (Clares, Germany)",3.2,75,12.2,31.0
Pfullingen,11.7,75,18.2,35.8
Walsrode,58.8,75,51.1,62.2
S. Serafia (Cistercian),34.7,45,34.3,38.2
Bredelar,1.5,65,11.0,26.6
S. Nazzaro dei Burgondi,34.8,65,34.3,45.2
Ritterhaus Bubikon,34.2,55,33.9,41.4
"Bassum (Syke, Germany)",53.7,75,47.6,59.3
Bergedorf,1.4,65,11.0,26.5
"S. Sebastiano, Pozzolo Formigaro",50.5,65,45.3,54.0
S. Sebastiano,31.4,65,32.0,43.3
Herford,45.5,75,41.8,54.7
Brenkhausen,32.0,65,32.4,43.7
Gokirch,32.8,65,32.9,44.1
S. Katharinental,36.0,75,35.2,49.4
Sackbrüder  Pforzheim,1.1,65,10.8,26.4
Rocca delle Donne,18.4,65,22.9,36.1
S. Marta extra muros,23.0,65,26.1,38.6
S. Pietro de Castelfaccio,9.0,65,16.3,30.8
Borgo Mortara,30.6,65,31.4,42.9
S. Agathe (Novara),15.1,65,20.6,34.2
S. Giovanni Battista nel Borgo di S. Luca (Novara),12.2,65,18.5,32.6
Neuenwalde,17.5,75,22.2,39.0
S. Pietro (Clares),40.2,65,38.1,48.2
Santa Maria de Campis,11.4,65,18.0,32.1
Terziarie di S. Francesco (Franciscan),33.3,45,33.3,37.4
Frauenalb,23.5,65,26.4,38.9
Gnadenthal,28.2,65,29.7,41.5
S. Pietro Martire,22.4,65,25.7,38.3
"S. Agata, Humiliati",25.1,65,27.6,39.8
"S. Clemente (Lenta, Piedmont)",47.7,65,43.4,52.5
S. Lorenzo e S. Maria della Valle (Incisa Scapacciato),32.7,65,32.9,44.1
Ramsen,6.8,65,14.7,29.5
Kirschgarten,11.4,65,18.0,32.1
Marienkrone,16.1,65,21.3,34.8
Galilaea,19.1,65,23.4,36.5
S. Maria di Banno,19.8,65,23.8,36.8
Lichtenthal,30.6,75,31.4,46.4
Herzebrock,53.1,75,47.2,59.0
S. Anastasio,44.7,65,41.3,50.8
S. Anna (Asti),68.2,65,57.7,63.9
S. Agnese,31.8,65,32.2,43.5
Domus Dei (Asti),36.7,75,35.7,49.8
S. Stefano (Cistercian),38.7,65,37.1,47.4
S. Maria delle Grazie (Benedictine),46.1,65,42.3,51.6
Alzey (Cistercian women),17.0,65,21.9,35.3
S. Pietro di Valle Rasina (Benedictine),51.7,65,46.2,54.7
"S. Agata, Cistercian",17.4,45,22.2,28.5
Malgarten,35.6,75,34.9,49.2
Boerstel,16.3,65,21.4,34.9
Bersenbrück,31.2,65,31.8,43.2
Liesborn,15.8,75,21.0,38.1
"S. Maria Maddalena, Dominican",3.6,65,12.5,27.8
Aulhausen,34.6,65,34.2,45.1
Rupertsberg,36.9,75,35.8,49.9
Disibodenberg,31.5,75,32.0,46.9
Eibingen,36.8,75,35.8,49.9
Adelhausen,35.0,75,34.5,48.8
GÃ¼ntersthal,32.8,65,32.9,44.1
Villingen,15.4,65,20.8,34.4
Drolshagen,32.0,65,32.4,43.7
S. Andrea,12.0,45,18.4,25.5
S. Maria della Casa di Dio (Cistercian),31.1,65,31.8,43.2
Kentrup,33.8,65,33.6,44.7
FrÃ¶ndenberg,32.7,65,32.9,44.1
Kloster St. Katharinental,35.1,45,34.6,38.4
Hohenburg,48.8,65,44.1,53.1
S. Maria di Caramagna,24.3,75,27.0,42.9
Santissima Trinità e S. Michele Arcangelo (Benedictine),42.3,65,39.6,49.4
S. Pietro Puellarm,32.8,65,32.9,44.1
Bocholt (black nuns),27.7,65,29.4,41.3
Geldern,28.2,65,29.7,41.5
Besselich,26.3,65,28.4,40.5
Jörresbusch,33.9,65,33.7,44.7
Kamp (Beguine),23.8,65,26.6,39.1
S. Arnolfo (Cuneo),31.6,65,32.1,43.4
S. Maria Annunziata,3.0,65,12.1,27.4
Meerhusen,17.5,65,22.2,35.5
Gevelsberg,32.8,75,32.9,47.6
Hüls,19.9,65,23.9,36.9
S. Maria de Montalegre,22.1,65,25.5,38.1
Münchenbuchsee Commandery,19.6,55,23.7,33.2
Jemgum,16.6,65,21.6,35.0
Unterlinden,31.3,75,31.9,46.8
S. Antonio,38.2,65,36.7,47.1
S. Maria (Benedictine),33.1,75,29.8,46.8
Gravenhorst,31.1,65,31.8,43.2
Agnetenberg,19.9,65,23.9,36.9
Marienborn,32.2,65,32.5,43.8
Marienbrunn,32.6,65,32.8,44.0
Dietkirchen Monastery,31.1,75,31.8,46.7
Vilich,46.3,75,42.4,55.2
Vreden,54.7,75,48.3,59.9
Kettwig,16.6,65,21.6,35.0
Meschede,25.3,75,27.7,43.4
Convent of the White Women of the Penitential Order of Mary Magdalene,16.9,75,21.8,38.7
Bottenbroich,12.2,65,18.5,32.6
S. Maximin,34.7,75,34.3,48.7
Hahn Beguinage (Cologne),28.0,65,29.6,41.4
Klappel Beguinage (Cologne),26.8,65,28.7,40.7
Korduan Beguinage (Cologne),28.1,65,29.7,41.5
Béguines of St Eve (Cologne),28.6,65,30.0,41.8
Seelenkonvent (Beguine),32.2,75,32.5,47.3
Stern (Beguine),27.6,75,29.3,44.7
Strune (Beguine),29.2,65,30.4,42.1
Vorteleve (Beguine),29.9,65,30.9,42.5
Wyse (Beguine),28.3,65,29.8,41.6
Zelle in der Komödienstraße (Beguine house),29.4,65,30.6,42.2
St. Mary Magdalene of Repentance,19.7,65,23.8,36.8
S. Caecilia,62.1,65,53.5,60.5
St. Agatha (Kloster St. Agatha),27.5,65,29.2,41.1
Essen,53.7,75,47.6,59.3
S. Maria im Kapitol,62.7,75,53.9,64.4
Mechtern,29.5,75,30.6,45.8
Sion,33.0,75,33.1,47.7
Eppinghoven,33.5,65,33.4,44.5
St. Gertrude (Dominican),30.7,65,31.5,42.9
Zum Weiher,34.0,75,33.8,48.3
Gerresheim Abbey,52.7,65,46.9,55.3
S. Hoilde,31.6,65,32.1,43.4
Grossburlo,1.4,65,11.0,26.5
Chartreuse de la Celle-Roubaud,29.8,65,30.8,42.4
Blatzheim,16.9,65,21.8,35.2
Pfalzel,17.8,65,22.4,35.7
"Ären Abbey (Trier, Germany)",64.9,65,55.4,62.1
S. Anne,32.1,65,32.5,43.7
S. Thomas,35.5,45,34.8,38.6
St Catherine (Cistercian),33.4,65,33.4,44.5
Chartreuse de Mélan,28.7,65,30.1,41.8
Bedburg,33.9,45,33.7,37.7
Abbaye du Petit-Lieu,21.8,75,25.2,41.4
Kempen,21.4,65,25.0,37.7
Marienfloss,8.9,65,16.2,30.7
Notre-Dame-la-Royale,31.2,65,31.8,43.2
Soleimont,44.4,45,41.1,43.6
Lamme-van-Dieze (Beguines),15.7,65,21.0,34.5
"Le Betton (Betton-Bettonet, Savoie)",36.8,65,35.8,46.4
Metz (S. Glossinde),63.6,65,54.5,61.4
"Metz ""Clairvaux""",37.0,65,35.9,46.5
Sorps,10.2,65,17.1,31.4
Asperden,31.1,65,31.8,43.2
Compesières Commandry,34.4,55,34.1,41.5
Clairefontaine,30.9,65,31.6,43.0
"Gare Abbey (Gare, Luxembourg)",37.3,75,36.1,50.1
Annecy,34.6,65,34.2,45.1
Lamanarre Abbey (Hyères),32.1,65,32.5,43.7
Aachen-Burtscheid,32.8,65,32.9,44.1
Hähnsscheid,13.1,45,19.2,26.1
Gotteszell,18.2,75,22.7,39.4
Burtscheid,33.0,65,33.1,44.2
Droiteval Abbey,37.3,65,36.1,46.6
"Le Lieu-Notre-Dame (Tallenay, Doubs)",30.4,65,31.3,42.8
Montarlot,29.4,65,30.6,42.2
Abbaye des dames de Battant (Besançon),31.7,65,32.2,43.5
Bonlieu (Sallenôves),35.5,65,34.8,45.6
Munster-Klooster,32.2,45,32.5,36.8
Chartreuse Notre-Dame de Bertaud,33.9,45,33.7,37.7
Bronopia,6.6,65,14.6,29.4
"Le Lieu-Dieu (Marey, Vosges)",34.3,65,34.0,45.0
"Les Ayes (Crolles, Isère)",36.5,65,35.5,46.2
Grande Chartreuse,53.0,45,47.1,48.4
Chartreuse de Prémol,31.4,45,32.0,36.3
Orienten,31.7,65,32.2,43.5
Solieres,32.0,65,32.4,43.7
le Jardinet,11.7,45,18.2,25.3
Thure,31.1,65,31.8,43.2
Moulins,10.1,65,17.1,31.4
Rivreulle,37.8,65,36.4,46.9
Maastricht,11.2,45,17.8,25.0
Bons-en-Bugey,35.7,65,35.0,45.7
Ounans,36.2,65,35.3,46.0
Hoydonck,36.8,45,35.8,39.4
"Binderen (Helmond, Netherlands)",19.6,45,23.7,29.7
Belian,31.1,65,31.8,43.2
Abbaye Notre-Dame et Saint-Norbert de Floreffe,8.3,65,15.8,30.4
"Beaufays (Val-de-Meuse, Belgium)",37.7,45,36.4,39.9
Gémenos Abbey,32.9,65,33.0,44.2
l'Etanche-sur-Saulx,36.1,65,35.3,46.0
Abbaye notre dame de l'olive,32.6,65,32.8,44.0
Mons (S. Waudru),62.9,45,54.0,54.0
Epinlieu,32.7,65,32.9,44.1
Belmont-aux-Nonnains,36.6,65,35.6,46.2
Herlaimont,7.6,65,15.3,30.0
Moustier-sur-Sambre,7.8,65,15.4,30.1
Mont de Parménie,35.6,45,34.9,38.7
Megemont,29.0,65,30.3,42.0
Abbaye de Bonnecombe,36.0,45,35.2,38.9
Collonges Abbey,33.2,65,33.2,44.3
Beguines,9.2,65,16.4,30.9
Marseille (S. Sauveur),27.4,45,29.2,34.1
"Marseille, Mont-Sion Abbey (Bouches-du-Rhône)",30.8,65,31.6,43.0
"Marseille, Nazareth Friary (Bouches-du-Rhône)",30.2,45,31.1,35.6
Fort Saint-Jean,36.0,55,35.2,42.4
Benoitvaux,33.2,65,33.2,44.3
Abbaye de Pont-Ratier,32.8,65,32.9,44.1
Salzinnes,33.5,45,33.4,37.5
Chartreuse de la Salette,27.6,45,29.3,34.2
Poulangy,55.7,65,49.0,56.9
Nonneseter kloster,20.1,65,24.1,37.0
"Laval-Bénite (Saint-Pierre-de-Bœuf, Loire)",35.2,65,34.6,45.4
Coulonges Abbey,36.6,65,35.6,46.2
Bliez,36.8,45,35.8,39.4
Tart l'Abbaye,37.4,75,36.2,50.2
Marche-les-Dames,31.6,65,32.1,43.4
Abbaye Notre-Dame de Saint-Rémy de Rochefort,31.9,65,32.3,43.6
Andenne,10.7,45,17.5,24.7
S. Quirin-a-Huy,28.8,45,30.2,34.9
Huy,19.6,45,23.7,29.7
S. Victor-a-Huy,36.8,65,35.8,46.4
la Paix-Dieu,31.3,65,31.9,43.3
Vauxbons,34.3,65,34.0,45.0
Wanze,32.6,65,32.8,44.0
"Argenton (Gembloux, Belgium)",31.6,45,32.1,36.4
Boneffe,10.4,65,17.3,31.6
Corcelles Abbey,34.7,75,34.3,48.7
Nivelles-en-Brabant,64.8,65,55.4,62.0
Moleze,33.8,65,33.6,44.7
Val-Benoit,31.8,65,32.2,43.5
Pres-Porchins,94.0,45,75.8,71.4
Seumay,9.5,65,16.6,31.1
Ath/Aat (Belgium),31.6,65,32.1,43.4
Verofle,7.6,65,15.3,30.0
Abbaye Notre-Dame de Mollégès,32.8,75,32.9,47.6
S. Dizier,31.7,65,32.2,43.5
Robermont,33.8,65,33.6,44.7
Keizersbosch,37.3,65,36.1,46.6
Ghislenghien,37.7,45,36.4,39.9
Lens-S. Remy,25.1,45,27.6,32.8
Aywieres,33.8,45,33.6,37.7
Prieuré de l'Ermite,22.3,65,25.6,38.2
Bonlieu-sur-Rouge,34.8,65,34.3,45.2
Bouchet,34.9,45,34.4,38.3
Orp,6.0,45,14.2,22.1
Wauthier-Braine,32.0,65,32.4,43.7
Vivegnis,37.9,65,36.5,47.0
Abbaye de la Ramée,33.0,65,33.1,44.2
Florival,33.0,65,33.1,44.2
Abbaye Notre-Dame de Soyons,34.4,65,34.1,45.0
Brienne,27.2,45,29.0,34.0
la Deserte Convent (Lyon),27.3,65,29.1,41.0
Maagdendale,31.8,65,32.2,43.5
Sinnich,31.2,65,31.8,43.2
Vallis Coeli,33.8,65,33.6,44.7
Messines,41.7,65,39.2,49.1
Abbaye de Vernaison,35.5,65,34.8,45.6
Orange (S. Pierre),19.5,45,23.6,29.7
Avignon (S. Catherine),30.2,65,31.1,42.6
S. Catherindaal,20.2,45,24.1,30.0
Crecy,9.1,65,16.4,30.9
Petit-Bigard,31.6,55,32.1,39.9
"Les Rosiers (Séchault, Ardennes)",30.9,65,31.6,43.0
Val-Duchesse,24.1,65,26.9,39.3
Notre-Dame-du-Plan,33.2,65,33.2,44.3
Mont-Sainte-Catherine,30.7,65,31.5,42.9
Val-Ste-Agnes,21.5,65,25.0,37.8
Abbaye de Sainte-Barbe-en-Auge,23.0,45,26.1,31.6
Val-Virginal,32.8,45,32.9,37.1
Mont-D'Or,32.8,45,32.9,37.1
Mielen,36.0,65,35.2,45.9
Ter Beeck,31.5,65,32.0,43.4
Val des Vignes,31.5,65,32.0,43.4
Tarascon,24.3,65,27.0,39.4
Salles-en-Beaujolais,27.5,45,29.2,34.1
Arles,8.4,65,15.9,30.5
Albaron,31.1,45,31.8,36.2
Arles (S. Cesaire),71.9,65,60.3,66.0
Vitry-en-Perthois,31.2,45,31.8,36.2
"Les Mazures (Renwez, Ardennes)",29.0,65,30.3,42.0
Notre-Dame-aux-Bois,32.8,65,32.9,44.1
Groeningen,19.6,65,23.7,36.7
Reconfort,31.2,65,31.8,43.2
Leau,17.6,45,22.3,28.6
Ninove,9.1,65,16.4,30.9
Jericho Brussels,21.4,65,25.0,37.7
Mont-Sion,20.5,65,24.3,37.2
Brussells (S. Catherine),31.7,65,32.2,43.5
la Cambre,33.5,45,33.4,37.5
Petegem,37.1,65,36.0,46.5
Valsauve,32.2,65,32.5,43.8
Park Abbey,50.5,65,45.3,54.0
Munsterbilzen Belisia,8.4,65,15.9,30.5
Abbaye de Mercoire,32.8,75,32.9,47.6
Grand-Bigard,38.4,45,36.9,40.3
Louvain,31.6,45,32.1,36.4
Clavas,31.9,65,32.3,43.6
Valduc,31.9,65,32.3,43.6
Parc-les-Dames,32.8,65,32.9,44.1
Abdij van Postel,9.2,65,16.4,30.9
Abbaye de Cortenbergh,39.0,65,37.3,47.6
Hocht,32.6,65,32.8,44.0
Herkenrode,34.6,65,34.2,45.1
Gempe,32.5,65,32.7,43.9
Alost,39.4,65,37.6,47.8
Ten Roosen,32.0,55,32.4,40.2
Abdij van Rotem,31.4,75,32.0,46.8
Merkem,36.6,45,35.6,39.2
Nieuwenrode,9.6,65,16.7,31.1
Deinze Ste-Margeurite,19.6,65,23.7,36.7
Mont-St-Nicolas,20.1,45,24.1,30.0
Autun Saint-Andoche,52.5,65,46.7,55.1
Jully-les-Nonains Abbey,38.1,65,36.7,47.1
la Piete-Dieu,11.8,65,18.2,32.3
Val-Notre-Dame,21.3,65,24.9,37.7
Val-Saint-Bernard,31.6,45,32.1,36.4
Seauve-Benite,37.3,65,36.1,46.6
Rekem,37.9,65,36.5,47.0
Notre-Dame der Elze,6.6,65,14.6,29.4
S. Aubin,33.2,65,33.2,44.3
Bellecombe,37.1,65,36.0,46.5
Tusschenbeek,36.6,65,35.6,46.2
Aubeterre (France),46.2,65,42.3,51.6
Mont-Thabor,19.0,65,23.3,36.4
"Blijdenberg (Mechelen, Belgium)",30.6,65,31.4,42.9
Muizen,23.4,65,26.4,38.9
Charite-les-Lezinnes,13.9,65,19.7,33.5
Hombeek,31.7,65,32.2,43.5
Ales,33.3,65,33.3,44.4
Marcigny Abbey (Saône-et-Loire),41.4,65,39.0,48.9
Hemelsdale,31.5,45,32.0,36.4
Zwijveke,32.3,65,32.6,43.8
Maubeuge,63.6,65,54.5,61.4
Galilee,20.4,45,24.3,30.2
Doue,3.4,65,12.4,27.7
Ghent St-Agnes,20.3,65,24.2,37.1
"Marcilly Abbey (Provency, Yonne)",31.0,65,31.7,43.1
Ghent Ste-Barbe,20.9,45,24.6,30.4
Byloque,32.7,65,32.9,44.1
Ter Hagen,19.2,45,23.4,29.5
Ghent (Franciscan),28.7,45,30.1,34.8
"Le Jardin-Notre-Dame (Pleurs, Vosges)",31.6,65,32.1,43.4
Prieuré de Groenendael,24.0,45,26.8,32.2
Ormont,31.3,65,31.9,43.3
Vignoguol,30.7,65,31.5,42.9
Roosendael Abbey,32.1,75,32.5,47.2
Vredendaal,7.6,65,15.3,30.0
"Béthanie (Veurne, Belgium) – Canonesses",21.1,65,24.8,37.6
"Béthanie (Veurne, Belgium) – Canons",30.6,45,31.4,35.9
Hof ten Vrouwen,37.3,65,36.1,46.6
Sint-Agnesklooster,20.6,65,24.4,37.3
Alden-Eyck,13.2,45,19.2,26.1
Oeteren,32.0,65,32.4,43.7
Amour Dieu (l'),31.5,65,32.0,43.4
Doornzele Abbey,32.0,65,32.4,43.7
Dorisel,32.0,65,32.4,43.7
Quesnoy,31.3,65,31.9,43.3
"Le Savoir-sous-Laon (Laon, Aisne)",31.6,65,32.1,43.4
Montreuil-les-Dames,36.8,65,35.8,46.4
Netlieu,11.6,65,18.1,32.2
la Grâce Abbey (Montmirail),31.9,65,32.3,43.6
Waasmunster,31.5,65,32.0,43.4
Abbaye Saint-Jean-Baptiste de Valenciennes,63.8,45,54.6,54.5
Notre-Dame-de-Nazareth,31.9,65,32.3,43.6
Fontenelles Abbey,32.3,65,32.6,43.8
Belleau,30.8,65,31.6,43.0
Fervacques Abbey,36.6,65,35.6,46.2
Denain,7.6,65,15.3,30.0
Notre-Dame de Jerusalem,17.8,65,22.4,35.7
Hasnon,11.8,65,18.2,32.3
Hamage-les-Marchiennes,8.5,45,15.9,23.5
Mont-Notre-Dame-les-Provins,31.2,65,31.8,43.2
Ghistelles/Gistel,39.2,45,37.4,40.7
Marchiennes,21.6,45,25.1,30.8
"Beaurepaire (Somain, Nord, France)",34.2,65,33.9,44.9
Herentals,21.8,65,25.2,37.9
Premy,34.0,45,33.8,37.8
Stocquoy,9.5,65,16.6,31.1
Eewen,9.5,65,16.6,31.1
Odeghem,38.7,45,37.1,40.4
Spermalie,33.6,45,33.5,37.6
Rouez,4.3,65,13.0,28.2
Cour-Notre-Dame-les-Gouvernay,31.8,65,32.2,43.5
Minderbroeders,43.1,45,40.2,42.9
Flines-l’Abbaye,31.3,65,31.9,43.3
Blesle,51.0,65,45.7,54.3
"S. Maria Magdalena (Barcelona, Spain)",26.0,65,28.2,40.3
"Beaupré (Beaumont-en-Bière, France)",31.6,65,32.1,43.4
Jouarre Abbey,65.3,75,55.7,65.8
"Le Verger (Oisy-le-Verger, Pas-de-Calais)",31.8,65,32.2,43.5
Beaulieu-les-Sin-le-Noble,31.8,65,32.2,43.5
Clermont,41.9,45,39.3,42.2
Douai Abbey,32.3,65,32.6,43.8
Notre-Dame-des-Pres,31.5,65,32.0,43.4
Fatres et sorores de sacco,0.5,65,10.3,26.0
Chamalieres,52.6,45,46.8,48.2
Marquette-lez-Lille Abbey (Nord),31.7,65,32.2,43.5
Monastère de Royat,13.2,45,19.2,26.1
Nonenque,37.1,65,36.0,46.5
"La Merced (Barcelona, Spain)",32.9,75,33.0,47.7
la Joie-Ste Clare (Berneuil-sur-Aisne),30.9,65,31.6,43.0
