order,countries,earliest_foundation,country_count,Image 1 Link,Image 2 Link,Image 3 Link,community_count,avg_lifespan,male_count,female_count
Gilbertine,United Kingdom,1131.0,1,https://upload.wikimedia.org/wikipedia/commons/0/05/St.Andrew%27s_church%2C_Sempringham_-_geograph.org.uk_-_528619.jpg,https://upload.wikimedia.org/wikipedia/commons/0/05/Gwenllian_monument_528634.jpg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg8kLVxWEZPEGiODUTW52nJIiillpGkmZ8o6PMRpva1aH7dAFXfC5-R1l8NZWefAFBel664h2b7Y-8ecZTnoqZp61RrSfKRzE8m6wbq849T4FEoUOPOdzmTTDJqxbcYkH3vqX7j5RdpA0-J/s1600/Sempringham_Abbey_Church_-_geograph.org.uk_-_691247.jpg,9.0,387.3333333333333,1.0,8.0
Greek Orthodox,"Egypt, Greece, Israel, Lebanon, Libya, Serbia, Syria, Turkey",270.0,8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Katharinenkloster_Sinai_BW_2.jpg/1024px-Katharinenkloster_Sinai_BW_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Christ_Pantocrator_mosaic_from_Hagia_Sophia_2744_x_2900_pixels_3.1_MB.jpg/1024px-Christ_Pantocrator_mosaic_from_Hagia_Sophia_2744_x_2900_pixels_3.1_MB.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Burning_Bush%2C_St_Catherine%27s_Monastery.jpg/1024px-Burning_Bush%2C_St_Catherine%27s_Monastery.jpg,29.0,935.8965517241379,9.0,19.0
Humiliati,Italy,1144.0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Mirasole.jpg/800px-Mirasole.jpg,https://upload.wikimedia.org/wikipedia/commons/8/83/UmiliatiEstense.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Chiesa_di_San_Bartolomeo%2C_Bergamo.jpg/1024px-Chiesa_di_San_Bartolomeo%2C_Bergamo.jpg,6.0,340.0,3.0,3.0
Jesuati,Italy,1382.0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Facade_Chiesa_dei_Gesuati_Venice_2012.JPG/800px-Facade_Chiesa_dei_Gesuati_Venice_2012.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Gesuati_facade_Venice.jpg/800px-Gesuati_facade_Venice.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Santa_Maria_del_Rosario_%28Venice%29_Nave_ceiling_by_Tiepolo_-_The_Glory_of_St_Dominic.jpg/1024px-Santa_Maria_del_Rosario_%28Venice%29_Nave_ceiling_by_Tiepolo_-_The_Glory_of_St_Dominic.jpg,4.0,349.25,0.0,4.0
Knights Hospitallers,"Croatia, Cyprus, Denmark, France, Germany, Greece, Israel, Italy, Libya, Malta, Norway, Poland, Saint Barthelemy, Spain, Switzerland, Syria, Turkey, United Kingdom",1140.0,18,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Klis_iz_zraka.jpg/1024px-Klis_iz_zraka.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Clissa%2C_principal_fortezza_del_Turcho_nella_Dalmatia_-_Camocio_Giovanni_Francesco_-_1574.jpg/1024px-Clissa%2C_principal_fortezza_del_Turcho_nella_Dalmatia_-_Camocio_Giovanni_Francesco_-_1574.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Rijeka014.jpg/800px-Rijeka014.jpg,53.0,390.35849056603774,48.0,5.0
Lebanese Maronite Order,Lebanon,250.0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Qozhaya01072003.jpg/1024px-Qozhaya01072003.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Coat_of_Arms_of_the_Maronite_Patriarchate.svg/1024px-Coat_of_Arms_of_the_Maronite_Patriarchate.svg.png,https://www.qozhaya.com/graphics/photoAlbum/clocher.jpg,8.0,918.75,7.0,1.0
Macedonian Orthodox,North Macedonia,905.0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Saint_Naum_Monastery_%28%D0%BC%D0%B0%D0%BD%D0%B0%D1%81%D1%82%D0%B8%D1%80_%D0%A1%D0%B2%D0%B5%D1%82%D0%B8_%D0%9D%D0%B0%D1%83%D0%BC_%D0%BA%D0%BE%D0%B4_%D0%9E%D1%85%D1%80%D0%B8%D0%B4%D0%B0%2C_%D0%9C%D0%B0%D0%BA%D0%B5%D0%B4%D0%BE%D0%BD%D0%B8%D1%98%D0%B0%29.jpg/1024px-Saint_Naum_Monastery_%28%D0%BC%D0%B0%D0%BD%D0%B0%D1%81%D1%82%D0%B8%D1%80_%D0%A1%D0%B2%D0%B5%D1%82%D0%B8_%D0%9D%D0%B0%D1%83%D0%BC_%D0%BA%D0%BE%D0%B4_%D0%9E%D1%85%D1%80%D0%B8%D0%B4%D0%B0%2C_%D0%9C%D0%B0%D0%BA%D0%B5%D0%B4%D0%BE%D0%BD%D0%B8%D1%98%D0%B0%29.jpg,https://upload.wikimedia.org/wikipedia/commons/5/54/Svetinaum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/St._Naum_Monastery_51.JPG/1024px-St._Naum_Monastery_51.JPG,7.0,781.4285714285714,4.0,3.0
Mariamite Maronite Order,Lebanon,1694.0,1,https://churches-lb.com/wp-content/uploads/2024/06/255907494_418903139867558_6625656496941067399_n.jpg,https://churches-lb.com/wp-content/uploads/2024/06/255520999_418903179867554_7327337719955733814_n.jpg,https://churches-lb.com/wp-content/uploads/2024/06/255658667_418903249867547_6786354688291243503_n.jpg,1.0,331.0,0.0,1.0
Polish Autocephalous Orthodox,Poland,1498.0,1,https://wiadomosci.cerkiew.pl/pages/Image/news/2025/139914.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Zesp%C3%B3%C5%82_klasztorny_bazylian%C3%B3w_w_Supra%C5%9Blu.jpg/1024px-Zesp%C3%B3%C5%82_klasztorny_bazylian%C3%B3w_w_Supra%C5%9Blu.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Ogr%C3%B3dKlasztornySupra%C5%9Bl.jpg/1024px-Ogr%C3%B3dKlasztornySupra%C5%9Bl.jpg,2.0,527.0,2.0,0.0
Premonstratensian,"Belgium, France, Germany, Poland, United Kingdom",1124.0,5,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Abdijkerk_Grimbergen.jpg/1024px-Abdijkerk_Grimbergen.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/Grimbergen_abdijkerk.jpg,https://upload.wikimedia.org/wikipedia/commons/0/01/Coustumes_-_Moines_de_l%27Abbaye_de_Grimberge.png,16.0,428.5,2.0,13.0
Romanian Orthodox,"Greece, Romania",950.0,2,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Prodromos-1.jpg/1024px-Prodromos-1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Prodromos-2.jpg/1024px-Prodromos-2.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Prodromita.jpg,4.0,797.75,3.0,1.0
Russian Orthodox,Russia,1360.0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Moscow_05-2017_img33_Kitay-Gorod.jpg/1024px-Moscow_05-2017_img33_Kitay-Gorod.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Memorial_lichud_brothers_moskow.jpg/800px-Memorial_lichud_brothers_moskow.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/2024_Novodevichy_Convent_in_Moscow.jpg/1024px-2024_Novodevichy_Convent_in_Moscow.jpg,3.0,457.6666666666667,1.0,2.0
