source,target,order,distance_km,shared_period
Monastery of the Cross,Deir Mar Elisha (Monastery of Saint Elisha),Lebanese Maronite Order ,23.4,1121-1440
Monastery of the Cross,"Deir Mar Geryes (Monastery of St. George) – Shweir, Metn",Lebanese Maronite Order ,46.9,1695-2025
Monastery of the Cross,Saint Anthony of Padua,Lebanese Maronite Order ,114.1,1250-2025
Monastery of the Cross,Mar Lichaa Monastery,Lebanese Maronite Order ,61.3,1252-1998
Chastel Rouge (Qal’at Yahmur),Margat (Marqab),Knights Hospitallers,40.4,1186-1285
Chastel Rouge (Qal’at Yahmur),La Colée (Qalaat al-Qlaiaat),Knights Hospitallers,44.3,1177-1266
"Deir Qannoubin, Qozhaya","Mar Antonios, Qozhaya",Lebanese Maronite Order ,0.0,1150-1830
"Deir Qannoubin, Qozhaya",Deir Mar Elisha (Monastery of Saint Elisha),Lebanese Maronite Order ,19.6,1121-1440
"Deir Qannoubin, Qozhaya","Deir Mar Geryes (Monastery of St. George) – Shweir, Metn",Lebanese Maronite Order ,46.7,1695-1830
"Deir Qannoubin, Qozhaya",Saint Anthony of Padua,Lebanese Maronite Order ,115.3,1250-1830
"Deir Qannoubin, Qozhaya",Mar Lichaa Monastery,Lebanese Maronite Order ,59.5,1252-1830
"Mar Antonios, Qozhaya",Deir Mar Elisha (Monastery of Saint Elisha),Lebanese Maronite Order ,19.6,1150-1440
"Mar Antonios, Qozhaya","Deir Mar Geryes (Monastery of St. George) – Shweir, Metn",Lebanese Maronite Order ,46.7,1695-2025
"Mar Antonios, Qozhaya",Saint Anthony of Padua,Lebanese Maronite Order ,115.3,1250-2025
"Mar Antonios, Qozhaya",Mar Lichaa Monastery,Lebanese Maronite Order ,59.5,1252-1998
Margat (Marqab),La Colée (Qalaat al-Qlaiaat),Knights Hospitallers,83.5,1186-1266
Krak des Chevaliers (Hisn al-Akrad),"Beaufort Castle, Lebanon",Knights Hospitallers,99.5,1260-1268
Krak des Chevaliers (Hisn al-Akrad),Église Sainte-Anne,Knights Hospitallers,100.0,1142-1271
Krak des Chevaliers (Hisn al-Akrad),Church of the Sepulchre of Saint Mary,Knights Hospitallers,100.0,1142-1271
Krak des Chevaliers (Hisn al-Akrad),Al-Aqsa Mosque,Knights Hospitallers,100.0,1142-1187
Krak des Chevaliers (Hisn al-Akrad),Bayt Jibrin (Beth Gibelin),Knights Hospitallers,129.0,1142-1271
Krak des Chevaliers (Hisn al-Akrad),Hospitaller commandery of Saint-Jean-d'Acre,Knights Hospitallers,89.1,1142-1271
Krak des Chevaliers (Hisn al-Akrad),Château Pèlerin ,Knights Hospitallers,90.4,1218-1271
Deir Saydet Hamatoura,"Deir El-Balamand of the Greek Orthodox, Koura",Greek Orthodox,15.1,1157-2025
Deir Saydet Hamatoura,Deir Saydet El-Natour,Greek Orthodox,12.2,1150-2025
Deir Saydet Hamatoura,"Deir Saydet El-Nourieh, Hamat",Greek Orthodox,15.7,400-1650
"Deir El-Balamand of the Greek Orthodox, Koura",Deir Saydet El-Natour,Greek Orthodox,13.4,1157-2025
"Deir El-Balamand of the Greek Orthodox, Koura","Deir Saydet El-Nourieh, Hamat",Greek Orthodox,22.0,1157-1650
La Colée (Qalaat al-Qlaiaat),"Beaufort Castle, Lebanon",Knights Hospitallers,125.8,1260-1266
Deir Mar Elisha (Monastery of Saint Elisha),"Deir Mar Geryes (Monastery of St. George) – Shweir, Metn",Lebanese Maronite Order ,30.6,None
Deir Mar Elisha (Monastery of Saint Elisha),Saint Anthony of Padua,Lebanese Maronite Order ,100.3,1250-1440
Deir Mar Elisha (Monastery of Saint Elisha),Mar Lichaa Monastery,Lebanese Maronite Order ,40.6,1252-1440
Deir Saydet El-Natour,"Deir Saydet El-Nourieh, Hamat",Greek Orthodox,8.7,1150-1650
"Deir Mar Geryes (Monastery of St. George) – Shweir, Metn",Saint Anthony of Padua,Lebanese Maronite Order ,69.6,1695-2025
"Deir Mar Geryes (Monastery of St. George) – Shweir, Metn",Mar Lichaa Monastery,Lebanese Maronite Order ,18.3,1695-1998
Saint Anthony of Padua,Mar Lichaa Monastery,Lebanese Maronite Order ,65.4,1252-1998
"Beaufort Castle, Lebanon",Hospitaller commandery of Saint-Jean-d'Acre,Knights Hospitallers,61.7,1260-1268
"Beaufort Castle, Lebanon",Château Pèlerin ,Knights Hospitallers,75.8,1260-1268
St. Bishoy Coptic Orthodox Monastery,St. Zacchaeus Coptic Orthodox Monastery,Coptic Orthodox ,0.0,425-2025
St. Bishoy Coptic Orthodox Monastery,Al-Sultan Coptic Orthodox Monastery,Coptic Orthodox ,24.0,335-2025
St. Bishoy Coptic Orthodox Monastery,St George Coptic Orthodox Convent,Coptic Orthodox ,24.0,350-2025
St. Zacchaeus Coptic Orthodox Monastery,Al-Sultan Coptic Orthodox Monastery,Coptic Orthodox ,24.0,425-2025
St. Zacchaeus Coptic Orthodox Monastery,St George Coptic Orthodox Convent,Coptic Orthodox ,24.0,425-2025
Monastery of the Temptation (Jericho),Mount of Olives Monastery (Jerusalem),Greek Orthodox,24.0,390-2025
Monastery of the Temptation (Jericho),Church of the Nativity,Greek Orthodox,29.6,340-2025
Abbaye du Saulchoir,Orienten,Cistercian,0.0,1233-1797
Al-Sultan Coptic Orthodox Monastery,St George Coptic Orthodox Convent,Coptic Orthodox ,0.0,350-2025
Mount of Olives Monastery (Jerusalem),Church of the Nativity,Greek Orthodox,8.5,390-2025
Église Sainte-Anne,Church of the Sepulchre of Saint Mary,Knights Hospitallers,0.0,1131-2025
Église Sainte-Anne,Al-Aqsa Mosque,Knights Hospitallers,0.0,1131-1187
Église Sainte-Anne,Bayt Jibrin (Beth Gibelin),Knights Hospitallers,29.7,1135-1283
Église Sainte-Anne,Hospitaller commandery of Saint-Jean-d'Acre,Knights Hospitallers,128.3,1131-1291
Église Sainte-Anne,Château Pèlerin ,Knights Hospitallers,117.6,1218-1291
Church of the Sepulchre of Saint Mary,Al-Aqsa Mosque,Knights Hospitallers,0.0,1130-1187
Church of the Sepulchre of Saint Mary,Bayt Jibrin (Beth Gibelin),Knights Hospitallers,29.7,1135-1283
Church of the Sepulchre of Saint Mary,Hospitaller commandery of Saint-Jean-d'Acre,Knights Hospitallers,128.3,1130-1291
Church of the Sepulchre of Saint Mary,Château Pèlerin ,Knights Hospitallers,117.6,1218-1291
Al-Aqsa Mosque,Bayt Jibrin (Beth Gibelin),Knights Hospitallers,29.7,1135-1187
Al-Aqsa Mosque,Hospitaller commandery of Saint-Jean-d'Acre,Knights Hospitallers,128.3,1130-1187
Al-Aqsa Mosque,Château Pèlerin ,Knights Hospitallers,117.6,None
Bayt Jibrin (Beth Gibelin),Château Pèlerin ,Knights Hospitallers,143.1,1218-1283
Hospitaller commandery of Saint-Jean-d'Acre,Château Pèlerin ,Knights Hospitallers,14.3,1218-1291
Gastria Castle,Tokmar Kalesi,Knights Hospitallers,115.3,1308-1570
Gastria Castle,Silifke kalesi,Knights Hospitallers,115.3,None
Gastria Castle,Kolossi Castle ,Knights Hospitallers,114.4,1308-1570
Tokmar Kalesi,Silifke kalesi,Knights Hospitallers,0.0,1210-1248
St. Simeon (St. Hadra) Coptic Orthodox Monastery,Deir El Shohada,Coptic Orthodox ,138.3,560-2025
Dayr Anbā Ḥadra (“St Simeon”) – Aswan west bank,Monastery of St Hatre (Dayr Amba Ḥaṭri) – Aswan west bank cliffs,Early Nubian Christian ,0.0,650-950
Naqada Monastery,St. Andrews Coptic Orthodox Monastery,Coptic Orthodox ,29.5,450-2000
Naqada Monastery,St. Victor Coptic Orthodox Monastery,Coptic Orthodox ,29.5,350-2000
Naqada Monastery,Prophet Jeremiah Coptic Monastery (Qamula–Qena),Coptic Orthodox ,29.5,350-2000
Naqada Monastery,Holy Cross Coptic Orthodox Monastery,Coptic Orthodox ,29.5,1243-2000
Naqada Monastery,St. Pisentius Coptic Orthodox Monastery,Coptic Orthodox ,29.5,550-2000
Naqada Monastery,St. Moses the Black Coptic Orthodox Monastery,Coptic Orthodox ,24.1,400-1000
Naqada Monastery,St. Pachomius Coptic Orthodox Monastery,Coptic Orthodox ,24.1,350-2000
