source,target,order,distance_km,shared_period
S. Paolo delle Abbadesse,S. Maria sopra Minerva,Benedictine,131.3,1180-1276
S. Paolo delle Abbadesse,"S. Pancrazio sulla Via Aurelia, al Gianicolo",Benedictine,131.3,1255-1430
S. Paolo delle Abbadesse,S. Urbano in Campo Carleo,Benedictine,131.3,1264-1432
S. Paolo delle Abbadesse,S. Maria della Massima,Benedictine,131.3,1180-1453
S. Paolo delle Abbadesse,S. Cecilia in Trastevere,Benedictine,131.3,1344-1453
S. Paolo delle Abbadesse,S. Maria in Campo Marzio,Benedictine,131.3,1180-1453
S. Paolo delle Abbadesse,S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,131.3,1434-1453
S. Paolo delle Abbadesse,S. Maria del Ponte,Benedictine,44.8,1370-1453
S. Paolo delle Abbadesse,S. Francisco,Benedictine,59.7,1256-1400
S. Paolo delle Abbadesse,S. Maria dentro la CittÃ ,Benedictine,35.8,1364-1408
S. Paolo delle Abbadesse,S. Caterina della Scala (Todi),Benedictine,35.8,1421-1453
S. Paolo delle Abbadesse,S. Antonio Abate,Benedictine,87.7,1387-1453
S. Paolo delle Abbadesse,"S. Sperandio, Perugia",Benedictine,19.2,1262-1453
S. Paolo delle Abbadesse,S. Angelo de Arenaria,Benedictine,19.2,1248-1253
S. Paolo delle Abbadesse,S. Maria di Valverde,Benedictine,19.2,1180-1302
S. Paolo delle Abbadesse,S. Giorgio,Benedictine,19.2,1235-1369
S. Paolo delle Abbadesse,S. Maria di Valfabbrica,Benedictine,19.2,1296-1383
S. Paolo delle Abbadesse,S. Galgano,Benedictine,19.2,1290-1412
S. Paolo delle Abbadesse,S. Giovanni di Columbella,Benedictine,19.2,1349-1422
S. Paolo delle Abbadesse,S. Maria Colomata,Benedictine,19.2,1297-1453
S. Paolo delle Abbadesse,S. Caterina Vecchia,Benedictine,19.2,1258-1453
S. Paolo delle Abbadesse,S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,19.2,1340-1453
S. Paolo delle Abbadesse,S. Sperandio,Benedictine,52.8,1271-1284
S. Paolo delle Abbadesse,S. Basilio,Benedictine,52.8,1282-1443
S. Paolo delle Abbadesse,S. Maria della Fonte fuori della Porta S. Maria,Benedictine,68.0,1258-1304
S. Paolo delle Abbadesse,S. Maria in Volturna,Benedictine,83.7,1320-1400
S. Paolo delle Abbadesse,S Trinità (Orvieto),Benedictine,57.6,1240-1453
S. Paolo delle Abbadesse,S. Maria,Benedictine,55.9,1268-1453
S. Paolo delle Abbadesse,S. Maria Maddalena (Benedictine),Benedictine,55.9,1270-1453
S. Paolo delle Abbadesse,S. Michele Archangelo,Benedictine,55.9,1305-1453
S. Paolo delle Abbadesse,S. Croce,Benedictine,55.9,1297-1453
S. Paolo delle Abbadesse,Immacolata Concezione (Arezzo),Benedictine,74.1,1336-1453
S. Paolo delle Abbadesse,S. Ambrogio,Benedictine,107.9,1180-1262
S. Paolo delle Abbadesse,S. Prospero,Benedictine,107.9,1262-1453
S. Paolo delle Abbadesse,S. Maria a Monte Cellesi (Benedictine),Benedictine,107.9,1180-1453
S. Paolo delle Abbadesse,S. Ilario in Alfiano,Benedictine,133.8,1180-1298
S. Paolo delle Abbadesse,S. Maria di Rosano,Benedictine,133.8,1180-1453
S. Paolo delle Abbadesse,Santissima Annunziata di Firenze,Benedictine,134.9,1412-1413
S. Paolo delle Abbadesse,S Silvestro,Benedictine,134.9,1301-1435
S. Paolo delle Abbadesse,Le Murate,Benedictine,134.9,1390-1453
S. Paolo delle Abbadesse,S. Michele delle Campora (Benedictine),Benedictine,134.9,1446-1453
S. Paolo delle Abbadesse,S Michaelis de Monte Tribaldi (Florence),Benedictine,134.9,1200-1453
S. Paolo delle Abbadesse,S. Verdiana,Benedictine,134.9,1391-1428
S. Caterina della Picaia,S. Apollinare,Benedictine,0.0,1259-1595
S. Caterina della Picaia,S. Donato di Flebulle (Assisi),Benedictine,0.0,1259-1595
S. Caterina della Picaia,S. Giovanni delle Rocche (Assisi),Benedictine,0.0,1404-1595
S. Caterina della Picaia,San Paolo delle Abbadesse,Benedictine,5.5,1259-1354
S. Caterina della Picaia,S. Stefano Maggiore,Benedictine,131.3,None
S. Caterina della Picaia,S. Sebastiano in Catacumbas,Benedictine,131.3,None
S. Caterina della Picaia,"S. Salvatore ""ad duos amantes""",Benedictine,131.3,None
S. Caterina della Picaia,S. Maria in Cannella,Benedictine,131.3,None
S. Caterina della Picaia,S. Maria sopra Minerva,Benedictine,131.3,1259-1276
S. Caterina della Picaia,"S. Pancrazio sulla Via Aurelia, al Gianicolo",Benedictine,131.3,1259-1430
S. Caterina della Picaia,S. Urbano in Campo Carleo,Benedictine,131.3,1264-1432
S. Caterina della Picaia,S. Maria della Massima,Benedictine,131.3,1259-1595
S. Caterina della Picaia,S. Cecilia in Trastevere,Benedictine,131.3,1344-1595
S. Caterina della Picaia,S. Maria in Campo Marzio,Benedictine,131.3,1259-1595
S. Caterina della Picaia,S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,131.3,1434-1595
S. Caterina della Picaia,S. Maria del Ponte,Benedictine,44.8,1370-1573
S. Caterina della Picaia,S. Francisco,Benedictine,59.7,1259-1400
S. Caterina della Picaia,S. Maria dentro la CittÃ ,Benedictine,35.8,1364-1408
S. Caterina della Picaia,S. Caterina della Scala (Todi),Benedictine,35.8,1421-1595
S. Caterina della Picaia,S. Antonio Abate,Benedictine,87.7,1387-1595
S. Caterina della Picaia,"S. Sperandio, Perugia",Benedictine,19.2,1262-1595
S. Caterina della Picaia,S. Angelo de Arenaria,Benedictine,19.2,None
S. Caterina della Picaia,S. Maria di Valverde,Benedictine,19.2,1259-1302
S. Caterina della Picaia,S. Giorgio,Benedictine,19.2,1259-1369
S. Caterina della Picaia,S. Maria di Valfabbrica,Benedictine,19.2,1296-1383
S. Caterina della Picaia,S. Galgano,Benedictine,19.2,1290-1412
S. Caterina della Picaia,S. Giovanni di Columbella,Benedictine,19.2,1349-1422
S. Caterina della Picaia,S. Maria Colomata,Benedictine,19.2,1297-1575
S. Caterina della Picaia,S. Caterina Vecchia,Benedictine,19.2,1259-1595
S. Caterina della Picaia,S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,19.2,1340-1595
S. Caterina della Picaia,S. Sperandio,Benedictine,52.8,1271-1284
S. Caterina della Picaia,S. Basilio,Benedictine,52.8,1282-1443
S. Caterina della Picaia,S. Maria della Fonte fuori della Porta S. Maria,Benedictine,68.0,1259-1304
S. Caterina della Picaia,S. Maria in Volturna,Benedictine,83.7,1320-1400
S. Caterina della Picaia,S Trinità (Orvieto),Benedictine,57.6,1259-1595
S. Caterina della Picaia,S. Maria,Benedictine,55.9,1268-1595
S. Caterina della Picaia,S. Maria Maddalena (Benedictine),Benedictine,55.9,1270-1595
S. Caterina della Picaia,S. Michele Archangelo,Benedictine,55.9,1305-1595
S. Caterina della Picaia,S. Croce,Benedictine,55.9,1297-1595
S. Caterina della Picaia,Immacolata Concezione (Arezzo),Benedictine,74.1,1336-1595
S. Caterina della Picaia,S. Ambrogio,Benedictine,107.9,1259-1262
S. Caterina della Picaia,S. Prospero,Benedictine,107.9,1262-1537
S. Caterina della Picaia,S. Maria a Monte Cellesi (Benedictine),Benedictine,107.9,1259-1595
S. Caterina della Picaia,S. Ilario in Alfiano,Benedictine,133.8,1259-1298
S. Caterina della Picaia,S. Maria di Rosano,Benedictine,133.8,1259-1472
S. Caterina della Picaia,Santissima Annunziata di Firenze,Benedictine,134.9,1412-1413
S. Caterina della Picaia,S Silvestro,Benedictine,134.9,1301-1435
S. Caterina della Picaia,Le Murate,Benedictine,134.9,1390-1595
S. Caterina della Picaia,S. Michele delle Campora (Benedictine),Benedictine,134.9,1446-1595
S. Caterina della Picaia,S Michaelis de Monte Tribaldi (Florence),Benedictine,134.9,1259-1595
S. Caterina della Picaia,S. Verdiana,Benedictine,134.9,1391-1428
S. Apollinare,S. Donato di Flebulle (Assisi),Benedictine,0.0,1233-1766
S. Apollinare,S. Giovanni delle Rocche (Assisi),Benedictine,0.0,1404-1766
S. Apollinare,San Paolo delle Abbadesse,Benedictine,5.5,1229-1354
S. Apollinare,S. Stefano Maggiore,Benedictine,131.3,None
S. Apollinare,S. Sebastiano in Catacumbas,Benedictine,131.3,None
S. Apollinare,"S. Salvatore ""ad duos amantes""",Benedictine,131.3,None
S. Apollinare,S. Maria in Cannella,Benedictine,131.3,None
S. Apollinare,S. Maria sopra Minerva,Benedictine,131.3,1229-1276
S. Apollinare,"S. Pancrazio sulla Via Aurelia, al Gianicolo",Benedictine,131.3,1255-1430
S. Apollinare,S. Urbano in Campo Carleo,Benedictine,131.3,1264-1432
S. Apollinare,S. Maria della Massima,Benedictine,131.3,1229-1766
S. Apollinare,S. Cecilia in Trastevere,Benedictine,131.3,1344-1766
S. Apollinare,S. Maria in Campo Marzio,Benedictine,131.3,1229-1766
S. Apollinare,S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,131.3,1434-1766
S. Apollinare,S. Maria del Ponte,Benedictine,44.8,1370-1573
S. Apollinare,S. Francisco,Benedictine,59.7,1256-1400
S. Apollinare,S. Maria dentro la CittÃ ,Benedictine,35.8,1364-1408
S. Apollinare,S. Caterina della Scala (Todi),Benedictine,35.8,1421-1766
S. Apollinare,S. Antonio Abate,Benedictine,87.7,1387-1766
S. Apollinare,"S. Sperandio, Perugia",Benedictine,19.2,1262-1766
S. Apollinare,S. Angelo de Arenaria,Benedictine,19.2,1248-1253
S. Apollinare,S. Maria di Valverde,Benedictine,19.2,1229-1302
S. Apollinare,S. Giorgio,Benedictine,19.2,1235-1369
S. Apollinare,S. Maria di Valfabbrica,Benedictine,19.2,1296-1383
S. Apollinare,S. Galgano,Benedictine,19.2,1290-1412
S. Apollinare,S. Giovanni di Columbella,Benedictine,19.2,1349-1422
S. Apollinare,S. Maria Colomata,Benedictine,19.2,1297-1575
S. Apollinare,S. Caterina Vecchia,Benedictine,19.2,1258-1643
S. Apollinare,S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,19.2,1340-1766
S. Apollinare,S. Sperandio,Benedictine,52.8,1271-1284
S. Apollinare,S. Basilio,Benedictine,52.8,1282-1443
S. Apollinare,S. Maria della Fonte fuori della Porta S. Maria,Benedictine,68.0,1258-1304
S. Apollinare,S. Maria in Volturna,Benedictine,83.7,1320-1400
S. Apollinare,S Trinità (Orvieto),Benedictine,57.6,1240-1766
S. Apollinare,S. Maria,Benedictine,55.9,1268-1766
S. Apollinare,S. Maria Maddalena (Benedictine),Benedictine,55.9,1270-1766
S. Apollinare,S. Michele Archangelo,Benedictine,55.9,1305-1766
S. Apollinare,S. Croce,Benedictine,55.9,1297-1766
S. Apollinare,Immacolata Concezione (Arezzo),Benedictine,74.1,1336-1766
S. Apollinare,S. Ambrogio,Benedictine,107.9,1229-1262
S. Apollinare,S. Prospero,Benedictine,107.9,1262-1537
S. Apollinare,S. Maria a Monte Cellesi (Benedictine),Benedictine,107.9,1229-1766
S. Apollinare,S. Ilario in Alfiano,Benedictine,133.8,1229-1298
S. Apollinare,S. Maria di Rosano,Benedictine,133.8,1229-1472
S. Apollinare,Santissima Annunziata di Firenze,Benedictine,134.9,1412-1413
S. Apollinare,S Silvestro,Benedictine,134.9,1301-1435
S. Apollinare,Le Murate,Benedictine,134.9,1390-1766
S. Apollinare,S. Michele delle Campora (Benedictine),Benedictine,134.9,1446-1766
S. Apollinare,S Michaelis de Monte Tribaldi (Florence),Benedictine,134.9,1229-1766
S. Apollinare,S. Verdiana,Benedictine,134.9,1391-1428
S. Donato di Flebulle (Assisi),S. Giovanni delle Rocche (Assisi),Benedictine,0.0,1404-1810
S. Donato di Flebulle (Assisi),San Paolo delle Abbadesse,Benedictine,5.5,1233-1354
S. Donato di Flebulle (Assisi),S. Stefano Maggiore,Benedictine,131.3,None
S. Donato di Flebulle (Assisi),S. Sebastiano in Catacumbas,Benedictine,131.3,None
S. Donato di Flebulle (Assisi),"S. Salvatore ""ad duos amantes""",Benedictine,131.3,None
S. Donato di Flebulle (Assisi),S. Maria in Cannella,Benedictine,131.3,None
S. Donato di Flebulle (Assisi),S. Maria sopra Minerva,Benedictine,131.3,1233-1276
S. Donato di Flebulle (Assisi),"S. Pancrazio sulla Via Aurelia, al Gianicolo",Benedictine,131.3,1255-1430
S. Donato di Flebulle (Assisi),S. Urbano in Campo Carleo,Benedictine,131.3,1264-1432
S. Donato di Flebulle (Assisi),S. Maria della Massima,Benedictine,131.3,1233-1810
S. Donato di Flebulle (Assisi),S. Cecilia in Trastevere,Benedictine,131.3,1344-1810
S. Donato di Flebulle (Assisi),S. Maria in Campo Marzio,Benedictine,131.3,1233-1810
S. Donato di Flebulle (Assisi),S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,131.3,1434-1810
S. Donato di Flebulle (Assisi),S. Maria del Ponte,Benedictine,44.8,1370-1573
S. Donato di Flebulle (Assisi),S. Francisco,Benedictine,59.7,1256-1400
S. Donato di Flebulle (Assisi),S. Maria dentro la CittÃ ,Benedictine,35.8,1364-1408
S. Donato di Flebulle (Assisi),S. Caterina della Scala (Todi),Benedictine,35.8,1421-1810
S. Donato di Flebulle (Assisi),S. Antonio Abate,Benedictine,87.7,1387-1810
S. Donato di Flebulle (Assisi),"S. Sperandio, Perugia",Benedictine,19.2,1262-1799
S. Donato di Flebulle (Assisi),S. Angelo de Arenaria,Benedictine,19.2,1248-1253
S. Donato di Flebulle (Assisi),S. Maria di Valverde,Benedictine,19.2,1233-1302
S. Donato di Flebulle (Assisi),S. Giorgio,Benedictine,19.2,1235-1369
S. Donato di Flebulle (Assisi),S. Maria di Valfabbrica,Benedictine,19.2,1296-1383
S. Donato di Flebulle (Assisi),S. Galgano,Benedictine,19.2,1290-1412
S. Donato di Flebulle (Assisi),S. Giovanni di Columbella,Benedictine,19.2,1349-1422
S. Donato di Flebulle (Assisi),S. Maria Colomata,Benedictine,19.2,1297-1575
S. Donato di Flebulle (Assisi),S. Caterina Vecchia,Benedictine,19.2,1258-1643
S. Donato di Flebulle (Assisi),S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,19.2,1340-1808
S. Donato di Flebulle (Assisi),S. Sperandio,Benedictine,52.8,1271-1284
S. Donato di Flebulle (Assisi),S. Basilio,Benedictine,52.8,1282-1443
S. Donato di Flebulle (Assisi),S. Maria della Fonte fuori della Porta S. Maria,Benedictine,68.0,1258-1304
S. Donato di Flebulle (Assisi),S. Maria in Volturna,Benedictine,83.7,1320-1400
S. Donato di Flebulle (Assisi),S Trinità (Orvieto),Benedictine,57.6,1240-1810
S. Donato di Flebulle (Assisi),S. Maria,Benedictine,55.9,1268-1785
S. Donato di Flebulle (Assisi),S. Maria Maddalena (Benedictine),Benedictine,55.9,1270-1808
S. Donato di Flebulle (Assisi),S. Michele Archangelo,Benedictine,55.9,1305-1809
S. Donato di Flebulle (Assisi),S. Croce,Benedictine,55.9,1297-1810
S. Donato di Flebulle (Assisi),Immacolata Concezione (Arezzo),Benedictine,74.1,1336-1808
S. Donato di Flebulle (Assisi),S. Ambrogio,Benedictine,107.9,1233-1262
S. Donato di Flebulle (Assisi),S. Prospero,Benedictine,107.9,1262-1537
S. Donato di Flebulle (Assisi),S. Maria a Monte Cellesi (Benedictine),Benedictine,107.9,1233-1808
S. Donato di Flebulle (Assisi),S. Ilario in Alfiano,Benedictine,133.8,1233-1298
S. Donato di Flebulle (Assisi),S. Maria di Rosano,Benedictine,133.8,1233-1472
S. Donato di Flebulle (Assisi),Santissima Annunziata di Firenze,Benedictine,134.9,1412-1413
S. Donato di Flebulle (Assisi),S Silvestro,Benedictine,134.9,1301-1435
S. Donato di Flebulle (Assisi),Le Murate,Benedictine,134.9,1390-1808
S. Donato di Flebulle (Assisi),S. Michele delle Campora (Benedictine),Benedictine,134.9,1446-1808
S. Donato di Flebulle (Assisi),S Michaelis de Monte Tribaldi (Florence),Benedictine,134.9,1233-1810
S. Donato di Flebulle (Assisi),S. Verdiana,Benedictine,134.9,1391-1428
S. Giovanni delle Rocche (Assisi),San Paolo delle Abbadesse,Benedictine,5.5,None
S. Giovanni delle Rocche (Assisi),S. Stefano Maggiore,Benedictine,131.3,None
S. Giovanni delle Rocche (Assisi),S. Sebastiano in Catacumbas,Benedictine,131.3,None
S. Giovanni delle Rocche (Assisi),"S. Salvatore ""ad duos amantes""",Benedictine,131.3,None
S. Giovanni delle Rocche (Assisi),S. Maria in Cannella,Benedictine,131.3,None
S. Giovanni delle Rocche (Assisi),S. Maria sopra Minerva,Benedictine,131.3,None
S. Giovanni delle Rocche (Assisi),"S. Pancrazio sulla Via Aurelia, al Gianicolo",Benedictine,131.3,1404-1430
S. Giovanni delle Rocche (Assisi),S. Urbano in Campo Carleo,Benedictine,131.3,1404-1432
S. Giovanni delle Rocche (Assisi),S. Maria della Massima,Benedictine,131.3,1404-1810
S. Giovanni delle Rocche (Assisi),S. Cecilia in Trastevere,Benedictine,131.3,1404-1810
S. Giovanni delle Rocche (Assisi),S. Maria in Campo Marzio,Benedictine,131.3,1404-1810
S. Giovanni delle Rocche (Assisi),S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,131.3,1434-1810
S. Giovanni delle Rocche (Assisi),S. Maria del Ponte,Benedictine,44.8,1404-1573
S. Giovanni delle Rocche (Assisi),S. Francisco,Benedictine,59.7,None
S. Giovanni delle Rocche (Assisi),S. Maria dentro la CittÃ ,Benedictine,35.8,1404-1408
S. Giovanni delle Rocche (Assisi),S. Caterina della Scala (Todi),Benedictine,35.8,1421-1810
S. Giovanni delle Rocche (Assisi),S. Antonio Abate,Benedictine,87.7,1404-1810
S. Giovanni delle Rocche (Assisi),"S. Sperandio, Perugia",Benedictine,19.2,1404-1799
S. Giovanni delle Rocche (Assisi),S. Angelo de Arenaria,Benedictine,19.2,None
S. Giovanni delle Rocche (Assisi),S. Maria di Valverde,Benedictine,19.2,None
S. Giovanni delle Rocche (Assisi),S. Giorgio,Benedictine,19.2,None
S. Giovanni delle Rocche (Assisi),S. Maria di Valfabbrica,Benedictine,19.2,None
S. Giovanni delle Rocche (Assisi),S. Galgano,Benedictine,19.2,1404-1412
S. Giovanni delle Rocche (Assisi),S. Giovanni di Columbella,Benedictine,19.2,1404-1422
S. Giovanni delle Rocche (Assisi),S. Maria Colomata,Benedictine,19.2,1404-1575
S. Giovanni delle Rocche (Assisi),S. Caterina Vecchia,Benedictine,19.2,1404-1643
S. Giovanni delle Rocche (Assisi),S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,19.2,1404-1808
S. Giovanni delle Rocche (Assisi),S. Sperandio,Benedictine,52.8,None
S. Giovanni delle Rocche (Assisi),S. Basilio,Benedictine,52.8,1404-1443
S. Giovanni delle Rocche (Assisi),S. Maria della Fonte fuori della Porta S. Maria,Benedictine,68.0,None
S. Giovanni delle Rocche (Assisi),S. Maria in Volturna,Benedictine,83.7,None
S. Giovanni delle Rocche (Assisi),S Trinità (Orvieto),Benedictine,57.6,1404-1810
S. Giovanni delle Rocche (Assisi),S. Maria,Benedictine,55.9,1404-1785
S. Giovanni delle Rocche (Assisi),S. Maria Maddalena (Benedictine),Benedictine,55.9,1404-1808
S. Giovanni delle Rocche (Assisi),S. Michele Archangelo,Benedictine,55.9,1404-1809
S. Giovanni delle Rocche (Assisi),S. Croce,Benedictine,55.9,1404-1810
S. Giovanni delle Rocche (Assisi),Immacolata Concezione (Arezzo),Benedictine,74.1,1404-1808
S. Giovanni delle Rocche (Assisi),S. Ambrogio,Benedictine,107.9,None
S. Giovanni delle Rocche (Assisi),S. Prospero,Benedictine,107.9,1404-1537
S. Giovanni delle Rocche (Assisi),S. Maria a Monte Cellesi (Benedictine),Benedictine,107.9,1404-1808
S. Giovanni delle Rocche (Assisi),S. Ilario in Alfiano,Benedictine,133.8,None
S. Giovanni delle Rocche (Assisi),S. Maria di Rosano,Benedictine,133.8,1404-1472
S. Giovanni delle Rocche (Assisi),Santissima Annunziata di Firenze,Benedictine,134.9,1412-1413
S. Giovanni delle Rocche (Assisi),S Silvestro,Benedictine,134.9,1404-1435
S. Giovanni delle Rocche (Assisi),Le Murate,Benedictine,134.9,1404-1808
S. Giovanni delle Rocche (Assisi),S. Michele delle Campora (Benedictine),Benedictine,134.9,1446-1808
S. Giovanni delle Rocche (Assisi),S Michaelis de Monte Tribaldi (Florence),Benedictine,134.9,1404-1810
S. Giovanni delle Rocche (Assisi),S. Verdiana,Benedictine,134.9,1404-1428
S. Croce al Ponte dei Galli,Benedetta,Franciscan,0.0,1453-1573
S. Croce al Ponte dei Galli,S. Maria della Concezione,Franciscan,131.3,1292-1573
S. Croce al Ponte dei Galli,S. Giovanni di Paragnano (Todi),Franciscan,35.8,1362-1573
S. Croce al Ponte dei Galli,S. Francesco delle Donne,Franciscan,19.2,1276-1573
S. Croce al Ponte dei Galli,S. Antonio da Padova convent (Perugia),Franciscan,19.2,1427-1573
S. Croce al Ponte dei Galli,Rinchiuse di Figline Valdarno,Franciscan,111.2,1277-1573
S. Croce al Ponte dei Galli,S. Annunziata,Franciscan,133.8,1454-1468
S. Croce al Ponte dei Galli,S Francesco a Guadato (Florence),Franciscan,134.9,1276-1573
Benedetta,S. Maria della Concezione,Franciscan,131.3,1453-1873
Benedetta,S. Giovanni di Paragnano (Todi),Franciscan,35.8,1453-2025
Benedetta,S. Francesco delle Donne,Franciscan,19.2,1453-1815
Benedetta,S. Antonio da Padova convent (Perugia),Franciscan,19.2,1453-2025
Benedetta,Rinchiuse di Figline Valdarno,Franciscan,111.2,1453-1866
Benedetta,S. Annunziata,Franciscan,133.8,1454-1468
Benedetta,S Francesco a Guadato (Florence),Franciscan,134.9,1453-2025
Monastero delle Romite Camaldolesi di San Secondo,Sacro Eremo e Monastero di Camaldoli,Camaldolese ,57.8,1150-1810
Monastero delle Romite Camaldolesi di San Secondo,S. Giovanni Evangelisto a Pratovecchio,Camaldolese ,114.3,1150-1808
Monastero delle Romite Camaldolesi di San Secondo,Santa Maria degli Angeli ,Camaldolese ,116.4,1295-1808
Monastero delle Romite Camaldolesi di San Secondo,Abbazia di San Salvatore,Camaldolese ,124.9,1150-1808
San Paolo delle Abbadesse,S. Stefano Maggiore,Benedictine,130.6,None
San Paolo delle Abbadesse,S. Sebastiano in Catacumbas,Benedictine,130.6,None
San Paolo delle Abbadesse,"S. Salvatore ""ad duos amantes""",Benedictine,130.6,1100-1182
San Paolo delle Abbadesse,S. Maria in Cannella,Benedictine,130.6,1100-1200
San Paolo delle Abbadesse,S. Maria sopra Minerva,Benedictine,130.6,1100-1276
San Paolo delle Abbadesse,"S. Pancrazio sulla Via Aurelia, al Gianicolo",Benedictine,130.6,1255-1354
San Paolo delle Abbadesse,S. Urbano in Campo Carleo,Benedictine,130.6,1264-1354
San Paolo delle Abbadesse,S. Maria della Massima,Benedictine,130.6,1100-1354
San Paolo delle Abbadesse,S. Cecilia in Trastevere,Benedictine,130.6,1344-1354
San Paolo delle Abbadesse,S. Maria in Campo Marzio,Benedictine,130.6,1100-1354
San Paolo delle Abbadesse,S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,130.6,None
San Paolo delle Abbadesse,S. Maria del Ponte,Benedictine,43.7,None
San Paolo delle Abbadesse,S. Francisco,Benedictine,58.1,1256-1354
San Paolo delle Abbadesse,S. Maria dentro la CittÃ ,Benedictine,33.3,None
San Paolo delle Abbadesse,S. Caterina della Scala (Todi),Benedictine,33.3,None
San Paolo delle Abbadesse,S. Antonio Abate,Benedictine,86.4,None
San Paolo delle Abbadesse,"S. Sperandio, Perugia",Benedictine,14.0,1262-1354
San Paolo delle Abbadesse,S. Angelo de Arenaria,Benedictine,14.0,1248-1253
San Paolo delle Abbadesse,S. Maria di Valverde,Benedictine,14.0,1100-1302
San Paolo delle Abbadesse,S. Giorgio,Benedictine,14.0,1235-1354
San Paolo delle Abbadesse,S. Maria di Valfabbrica,Benedictine,14.0,1296-1354
San Paolo delle Abbadesse,S. Galgano,Benedictine,14.0,1290-1354
San Paolo delle Abbadesse,S. Giovanni di Columbella,Benedictine,14.0,1349-1354
San Paolo delle Abbadesse,S. Maria Colomata,Benedictine,14.0,1297-1354
San Paolo delle Abbadesse,S. Caterina Vecchia,Benedictine,14.0,1258-1354
San Paolo delle Abbadesse,S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,14.0,1340-1354
San Paolo delle Abbadesse,S. Sperandio,Benedictine,50.2,1271-1284
San Paolo delle Abbadesse,S. Basilio,Benedictine,50.2,1282-1354
San Paolo delle Abbadesse,S. Maria della Fonte fuori della Porta S. Maria,Benedictine,65.4,1258-1304
San Paolo delle Abbadesse,S. Maria in Volturna,Benedictine,80.7,1320-1354
San Paolo delle Abbadesse,S Trinità (Orvieto),Benedictine,53.5,1240-1354
San Paolo delle Abbadesse,S. Maria,Benedictine,51.1,1268-1354
San Paolo delle Abbadesse,S. Maria Maddalena (Benedictine),Benedictine,51.1,1270-1354
San Paolo delle Abbadesse,S. Michele Archangelo,Benedictine,51.1,1305-1354
San Paolo delle Abbadesse,S. Croce,Benedictine,51.1,1297-1354
San Paolo delle Abbadesse,Immacolata Concezione (Arezzo),Benedictine,70.0,1336-1354
San Paolo delle Abbadesse,S. Ambrogio,Benedictine,102.7,1100-1262
San Paolo delle Abbadesse,S. Prospero,Benedictine,102.7,1262-1354
San Paolo delle Abbadesse,S. Maria a Monte Cellesi (Benedictine),Benedictine,102.7,1100-1354
San Paolo delle Abbadesse,S. Ilario in Alfiano,Benedictine,129.8,1100-1298
San Paolo delle Abbadesse,S. Maria di Rosano,Benedictine,129.8,1100-1354
San Paolo delle Abbadesse,Santissima Annunziata di Firenze,Benedictine,130.7,None
San Paolo delle Abbadesse,S Silvestro,Benedictine,130.7,1301-1354
San Paolo delle Abbadesse,Le Murate,Benedictine,130.7,None
San Paolo delle Abbadesse,S. Michele delle Campora (Benedictine),Benedictine,130.7,None
San Paolo delle Abbadesse,S Michaelis de Monte Tribaldi (Florence),Benedictine,130.7,1200-1354
San Paolo delle Abbadesse,S. Verdiana,Benedictine,130.7,None
Romans,S. Pietro in Montorio,Cistercian,0.0,1400-1472
Romans,Seligenporten,Cistercian,0.0,1349-1556
Romans,S. Maria de Eula,Cistercian,0.0,1349-1567
Romans,S. Petronilla,Cistercian,99.1,1349-1399
Romans,S. Giuliana,Cistercian,135.8,1349-1790
Romans,S. Fortunato,Cistercian,66.3,1369-1410
Romans,S. Maria del Paradiso,Cistercian,66.3,1349-1436
S. Stefano Maggiore,S. Sebastiano in Catacumbas,Benedictine,0.0,526-732
S. Stefano Maggiore,"S. Salvatore ""ad duos amantes""",Benedictine,0.0,None
S. Stefano Maggiore,S. Maria in Cannella,Benedictine,0.0,None
S. Stefano Maggiore,S. Maria sopra Minerva,Benedictine,0.0,None
S. Stefano Maggiore,"S. Pancrazio sulla Via Aurelia, al Gianicolo",Benedictine,0.0,None
S. Stefano Maggiore,S. Urbano in Campo Carleo,Benedictine,0.0,None
S. Stefano Maggiore,S. Maria della Massima,Benedictine,0.0,526-732
S. Stefano Maggiore,S. Cecilia in Trastevere,Benedictine,0.0,None
S. Stefano Maggiore,S. Maria in Campo Marzio,Benedictine,0.0,None
S. Stefano Maggiore,S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,0.0,None
S. Stefano Maggiore,S. Francisco,Benedictine,73.6,None
S. Stefano Maggiore,S. Maria dentro la CittÃ ,Benedictine,99.1,None
S. Stefano Maggiore,S. Caterina della Scala (Todi),Benedictine,99.1,None
S. Stefano Maggiore,S. Antonio Abate,Benedictine,45.2,None
S. Stefano Maggiore,"S. Sperandio, Perugia",Benedictine,135.8,None
S. Stefano Maggiore,S. Angelo de Arenaria,Benedictine,135.8,None
